"date","open","high","low","close","adjClose","volume","unadjustedVolume","change","changePercent","vwap","label","changeOverTime","lowTimeFrame","lowTimeFramePrice","highTimeFrame","highTimeFramePrice"
"2021-06-18",613.37,628.35,611.8,623.31,623.31,23956384,23956384,9.94,1.621,621.15333,"June 18, 21",0.01621,"2021-06-18 09:45:00",612.3095,"2021-06-18 13:15:00",628.2638
"2021-06-17",601.89,621.47,601.34,616.6,616.6,22271728,22271728,14.71,2.444,613.13667,"June 17, 21",0.02444,"2021-06-17 09:45:00",601.55,"2021-06-17 14:00:00",621.3207
"2021-06-16",597.54,608.5,593.5,604.87,604.87,22300858,22300858,7.33,1.227,602.29,"June 16, 21",0.01227,"2021-06-16 11:15:00",593.64,"2021-06-16 15:45:00",608.37
"2021-06-15",616.69,616.79,598.23,599.36,599.36,17740096,17740096,-17.33,-2.81,604.79333,"June 15, 21",-0.0281,"2021-06-15 16:00:00",598.36,"2021-06-15 09:30:00",617.69
"2021-06-14",612.23,625.49,609.31,617.69,617.69,20381064,20381064,5.46,0.892,617.49667,"June 14, 21",0.00892,"2021-06-14 09:30:00",609.89,"2021-06-14 10:00:00",625.16
"2021-06-11",610.23,612.54,601.55,609.89,609.89,16080641,16080641,-0.34,-0.056,607.99333,"June 11, 21",-0.00056,"2021-06-11 11:15:00",601.74,"2021-06-11 13:30:00",612.42
"2021-06-10",603.88,616.59,600.54,610.12,610.12,23734770,23734770,6.24,1.033,609.08333,"June 10, 21",0.01033,"2021-06-10 09:45:00",598.78,"2021-06-10 09:45:00",609.785
"2021-06-09",602.17,611.79,597.63,598.78,598.78,16478695,16478695,-3.39,-0.563,602.73333,"June 09, 21",-0.00563,"2021-06-09 15:30:00",597.9525,"2021-06-09 10:00:00",611.2999
"2021-06-08",623.01,623.09,595.5,603.59,603.59,25966276,25966276,-19.42,-3.117,607.39333,"June 08, 21",-0.03117,"2021-06-08 11:45:00",595.82,"2021-06-08 09:45:00",618.96
"2021-06-07",591.83,608.2,582.93,605.13,605.13,22326404,22326404,13.3,2.247,598.75333,"June 07, 21",0.02247,"2021-06-07 11:00:00",582.9515,"2021-06-07 15:45:00",608.0885